一不小心	wanxiang_base,sogou_sys_freq
一不小心就	sogou_sys_freq
一不小心捡到爱	sogou_sys_freq
一不注意	sogou_sys_freq
一不留神	wanxiang_base,sogou_sys_freq
一专	sogou_sys_freq
一专多能	sogou_sys_freq
一世	wanxiang_base,sogou_sys_freq,kdconv_ge2
一世之尊	sogou_sys_freq
一世情	sogou_sys_freq
一世情缘	sogou_sys_freq
一世独尊	sogou_sys_freq
一世纪	sogou_sys_freq
一世英名	sogou_sys_freq
一世长安	sogou_sys_freq
一丘之貉	sogou_sys_freq
一业	sogou_sys_freq
一丛	sogou_sys_freq
一东	sogou_sys_freq
一东一西	sogou_sys_freq
一丝	wanxiang_base,sogou_sys_freq
一丝一毫	wanxiang_base,sogou_sys_freq
一丝一缕	sogou_sys_freq
一丝不	wanxiang_base,kdconv_ge2
一丝不挂	sogou_sys_freq
一丝不苟	wanxiang_base,sogou_sys_freq
一丝丝	wanxiang_base,sogou_sys_freq
一丝血	sogou_sys_freq,sogou_sys_freq
一丢	sogou_sys_freq
一丢丢	wanxiang_base,sogou_sys_freq
一两	wanxiang_base,sogou_sys_freq
一两万	wanxiang_base,sogou_sys_freq
一两个	wanxiang_base,sogou_sys_freq
一两个人	sogou_sys_freq
一两个月	wanxiang_base,sogou_sys_freq
一两件	sogou_sys_freq
一两分钟	wanxiang_base,sogou_sys_freq
一两千	wanxiang_base,sogou_sys_freq
一两千万	wanxiang_base
一两单	sogou_sys_freq
一两句	wanxiang_base,sogou_sys_freq
一两句话	wanxiang_base,sogou_sys_freq
一两周	wanxiang_base,sogou_sys_freq
一两块	sogou_sys_freq
一两天	wanxiang_base,sogou_sys_freq
一两家	sogou_sys_freq
一两年	wanxiang_base,sogou_sys_freq
一两张	sogou_sys_freq
一两把	sogou_sys_freq
一两斤	sogou_sys_freq
一两月	sogou_sys_freq
一两条	sogou_sys_freq
一两根	sogou_sys_freq
一两次	wanxiang_base,sogou_sys_freq
一两点	sogou_sys_freq
一两百	wanxiang_base,sogou_sys_freq
一两集	sogou_sys_freq
一两面	sogou_sys_freq
一个	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个一	wanxiang_base
一个一个	wanxiang_base,sogou_sys_freq
一个一个人	sogou_sys_freq
一个上午	sogou_sys_freq
一个下午	wanxiang_base,sogou_sys_freq
一个不	wanxiang_base,kdconv_ge2
一个不小心	sogou_sys_freq
一个世界	wanxiang_base,sogou_sys_freq
一个世纪	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个东西	wanxiang_base,sogou_sys_freq
一个两个	wanxiang_base,sogou_sys_freq
一个个	wanxiang_base,sogou_sys_freq
一个个的	wanxiang_base
一个个都	wanxiang_base
一个中国	wanxiang_base
一个也	wanxiang_base,sogou_sys_freq
一个也没有	sogou_sys_freq
一个了	wanxiang_base,sogou_sys_freq
一个事	wanxiang_base,sogou_sys_freq
一个事情	wanxiang_base,sogou_sys_freq
一个二	wanxiang_base
一个二个	sogou_sys_freq
一个人	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个人了	wanxiang_base,sogou_sys_freq
一个人住	sogou_sys_freq
一个人做	wanxiang_base,sogou_sys_freq
一个人去	sogou_sys_freq
一个人吗	sogou_sys_freq
一个人在	wanxiang_base
一个人在家	sogou_sys_freq
一个人带	wanxiang_base
一个人挺好	sogou_sys_freq
一个人玩	sogou_sys_freq
一个人的	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个人睡	sogou_sys_freq
一个人走	sogou_sys_freq
一个人过	wanxiang_base
一个亿	wanxiang_base,sogou_sys_freq
一个什么	wanxiang_base
一个价	sogou_sys_freq
一个任务	wanxiang_base,sogou_sys_freq
一个会	sogou_sys_freq
一个位	wanxiang_base
一个位置	wanxiang_base
一个你	wanxiang_base,sogou_sys_freq
一个例子	wanxiang_base
一个做	wanxiang_base
一个像	sogou_sys_freq
一个儿	wanxiang_base
一个儿子	sogou_sys_freq
一个公司	sogou_sys_freq
一个典型	wanxiang_base
一个准	wanxiang_base
一个函数	wanxiang_base
一个分支	wanxiang_base
一个办法	wanxiang_base
一个动作	sogou_sys_freq
一个劲	wanxiang_base,sogou_sys_freq
一个劲儿	sogou_sys_freq
一个劲地	sogou_sys_freq
一个劲的	sogou_sys_freq
一个包	sogou_sys_freq
一个包子	sogou_sys_freq
一个区	sogou_sys_freq
一个医生	wanxiang_base
一个半	sogou_sys_freq
一个半小时	sogou_sys_freq
一个半月	wanxiang_base,sogou_sys_freq
一个单	sogou_sys_freq
一个单位	wanxiang_base
一个原因	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个县	sogou_sys_freq
一个又一个	sogou_sys_freq
一个双	wanxiang_base,kdconv_ge2
一个句子	wanxiang_base
一个叫	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个号	wanxiang_base,sogou_sys_freq
一个合格	wanxiang_base
一个同学	wanxiang_base,sogou_sys_freq
一个名	wanxiang_base,kdconv_ge2
一个名叫	wanxiang_base,kdconv_ge2
一个吗	sogou_sys_freq
一个吧	wanxiang_base,sogou_sys_freq
一个吻	sogou_sys_freq
一个呀	sogou_sys_freq
一个呗	sogou_sys_freq
一个周	sogou_sys_freq
一个周期	wanxiang_base,sogou_sys_freq
一个哥哥	sogou_sys_freq
一个啊	sogou_sys_freq
一个因素	wanxiang_base
一个团	sogou_sys_freq
一个团队	wanxiang_base
一个国家	wanxiang_base,sogou_sys_freq
一个图	sogou_sys_freq
一个圈	sogou_sys_freq
一个在	wanxiang_base
一个地区	wanxiang_base,sogou_sys_freq
一个地方	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个场景	wanxiang_base
一个坑	wanxiang_base,sogou_sys_freq
一个城市	wanxiang_base,sogou_sys_freq
一个夏天	sogou_sys_freq
一个多	sogou_sys_freq
一个多小时	sogou_sys_freq
一个多星期	sogou_sys_freq
一个多月	wanxiang_base,sogou_sys_freq
一个多月了	sogou_sys_freq,sogou_sys_freq
一个多月的	sogou_sys_freq
一个多点	sogou_sys_freq
一个多礼拜	sogou_sys_freq
一个大	wanxiang_base,sogou_sys_freq
一个大男人	sogou_sys_freq
一个天	wanxiang_base
一个头	sogou_sys_freq
一个头两个大	sogou_sys_freq
一个女	sogou_sys_freq
一个女人	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个女儿	wanxiang_base
一个女子	wanxiang_base
一个女孩	wanxiang_base,sogou_sys_freq
一个女孩子	sogou_sys_freq
一个女性	wanxiang_base
一个女生	wanxiang_base
一个女的	wanxiang_base,sogou_sys_freq
一个好	wanxiang_base,kdconv_ge2
一个好人	wanxiang_base,kdconv_ge2
一个好的	wanxiang_base
一个姓	sogou_sys_freq
一个娃	sogou_sys_freq
一个字	wanxiang_base,sogou_sys_freq
一个字母	wanxiang_base
一个季度	wanxiang_base,sogou_sys_freq
一个学期	wanxiang_base,sogou_sys_freq
一个学校	wanxiang_base,sogou_sys_freq
一个孩子	wanxiang_base,sogou_sys_freq
一个客户	sogou_sys_freq
一个家	sogou_sys_freq
一个家庭	sogou_sys_freq
一个宿舍	sogou_sys_freq
一个小	sogou_sys_freq
一个小型	wanxiang_base,kdconv_ge2
一个小孩	wanxiang_base
一个小时	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个小时了	sogou_sys_freq,sogou_sys_freq
一个小时后	sogou_sys_freq
一个小的	wanxiang_base
一个就行	sogou_sys_freq
一个屋	sogou_sys_freq
一个屋檐下	sogou_sys_freq
一个岛	wanxiang_base
一个巨大	wanxiang_base
一个巴掌拍不响	sogou_sys_freq
一个币	sogou_sys_freq
一个帖	wanxiang_base
一个店	sogou_sys_freq
一个当	wanxiang_base
一个很好	wanxiang_base,kdconv_ge2
一个忙	sogou_sys_freq
一个想法	wanxiang_base
一个意思	wanxiang_base,sogou_sys_freq
一个愿打一个愿挨	sogou_sys_freq
一个我	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个我们	wanxiang_base
一个房间	wanxiang_base,sogou_sys_freq
一个手	wanxiang_base,sogou_sys_freq
一个技能	wanxiang_base,sogou_sys_freq
一个接一个	sogou_sys_freq
一个故事	wanxiang_base,sogou_sys_freq
一个数	sogou_sys_freq
一个数字	wanxiang_base
一个数据	wanxiang_base
一个整	wanxiang_base
一个文件	wanxiang_base,sogou_sys_freq
一个新的	wanxiang_base
一个方向	wanxiang_base,sogou_sys_freq
一个方面	wanxiang_base
一个早	wanxiang_base
一个早上	sogou_sys_freq
一个星期	wanxiang_base,sogou_sys_freq
一个星期了	sogou_sys_freq
一个是	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个晚上	wanxiang_base,sogou_sys_freq
一个普通	wanxiang_base
一个暑假	wanxiang_base
一个月	wanxiang_base,sogou_sys_freq
一个月一次	sogou_sys_freq
一个月了	wanxiang_base,sogou_sys_freq
一个月内	wanxiang_base,sogou_sys_freq
一个月前	wanxiang_base,sogou_sys_freq
一个月后	wanxiang_base,sogou_sys_freq
一个月的	wanxiang_base,sogou_sys_freq
一个朋友	wanxiang_base,sogou_sys_freq
一个机会	wanxiang_base,sogou_sys_freq
一个村	sogou_sys_freq
一个来	wanxiang_base
一个柜	sogou_sys_freq
一个样	wanxiang_base,sogou_sys_freq
一个案例	wanxiang_base
一个档次	wanxiang_base,sogou_sys_freq
一个梦	sogou_sys_freq
一个概念	wanxiang_base
一个款	sogou_sys_freq
一个比	sogou_sys_freq
一个比一个	sogou_sys_freq
一个民族	wanxiang_base
一个汤	sogou_sys_freq
一个没	sogou_sys_freq
一个没有	wanxiang_base,sogou_sys_freq
一个法	wanxiang_base
一个洞	wanxiang_base,sogou_sys_freq
一个活	sogou_sys_freq
一个游戏	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个点	wanxiang_base,sogou_sys_freq
一个物体	wanxiang_base
一个独立	wanxiang_base,kdconv_ge2
一个环节	wanxiang_base
一个班	wanxiang_base,sogou_sys_freq
一个班的	sogou_sys_freq
一个班级	sogou_sys_freq
一个球	wanxiang_base,sogou_sys_freq
一个用	wanxiang_base
一个用户	wanxiang_base
一个电话	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个男人	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个男孩	wanxiang_base,kdconv_ge2
一个男的	sogou_sys_freq
一个疗程	sogou_sys_freq
一个病人	wanxiang_base
一个目标	wanxiang_base,sogou_sys_freq
一个省	sogou_sys_freq
一个真实	wanxiang_base
一个眼神	wanxiang_base
一个礼拜	wanxiang_base,sogou_sys_freq
一个社会	wanxiang_base
一个站	wanxiang_base,sogou_sys_freq
一个笑话	wanxiang_base
一个等级	wanxiang_base
一个箱子	sogou_sys_freq
一个系列	wanxiang_base,sogou_sys_freq
一个系统	wanxiang_base
一个级别	sogou_sys_freq
一个组	sogou_sys_freq
一个网	wanxiang_base
一个群	wanxiang_base,sogou_sys_freq
一个老师	wanxiang_base,sogou_sys_freq
一个能	wanxiang_base
一个船	sogou_sys_freq
一个色	sogou_sys_freq
一个英雄	sogou_sys_freq
一个苹果	wanxiang_base,sogou_sys_freq
一个菜	wanxiang_base,sogou_sys_freq
一个萝卜一个坑	sogou_sys_freq
一个蛋	wanxiang_base
一个行业	wanxiang_base
一个表	sogou_sys_freq
一个观点	wanxiang_base
一个视频	sogou_sys_freq
一个角	wanxiang_base
一个角度	wanxiang_base
一个角色	wanxiang_base,sogou_sys_freq
一个角落	sogou_sys_freq
一个订单	sogou_sys_freq
一个证	sogou_sys_freq
一个词	wanxiang_base,sogou_sys_freq
一个说法	wanxiang_base
一个谜	sogou_sys_freq
一个账号	sogou_sys_freq
一个账户	sogou_sys_freq
一个赛	wanxiang_base
一个身	wanxiang_base
一个车	sogou_sys_freq
一个软件	wanxiang_base
一个较为	wanxiang_base
一个还	wanxiang_base
一个这	wanxiang_base,kdconv_ge2
一个连	wanxiang_base
一个道理	wanxiang_base,sogou_sys_freq
一个部	wanxiang_base
一个部分	wanxiang_base
一个部门	sogou_sys_freq
一个都	wanxiang_base,sogou_sys_freq
一个都不能少	sogou_sys_freq
一个都没有	sogou_sys_freq
一个钟	sogou_sys_freq
一个钟头	sogou_sys_freq
一个钻	sogou_sys_freq
一个错误	wanxiang_base
一个键	sogou_sys_freq
一个门	sogou_sys_freq
一个问题	wanxiang_base,sogou_sys_freq,kdconv_ge2
一个队	sogou_sys_freq
一个阶段	wanxiang_base
一个陌生	wanxiang_base
一个雷	sogou_sys_freq
一个面	wanxiang_base,sogou_sys_freq
一个音	wanxiang_base,kdconv_ge2
一个页面	wanxiang_base
一个顶俩	sogou_sys_freq
一个项目	sogou_sys_freq
一个鱼	sogou_sys_freq
一中	wanxiang_base,sogou_sys_freq
一中午	sogou_sys_freq
一中各表	sogou_sys_freq
一中学	wanxiang_base
一中心	sogou_sys_freq
一中的	sogou_sys_freq
一中队	sogou_sys_freq
一丰	sogou_sys_freq
一串	wanxiang_base,sogou_sys_freq
一串串	sogou_sys_freq
一串数字	sogou_sys_freq
一串红	sogou_sys_freq
一丸	sogou_sys_freq
一丹	sogou_sys_freq
一为	sogou_sys_freq
一主一分	sogou_sys_freq
一主一备	sogou_sys_freq
一举	wanxiang_base,sogou_sys_freq,kdconv_ge2
一举一动	wanxiang_base,sogou_sys_freq
一举三得	sogou_sys_freq
一举两得	wanxiang_base,sogou_sys_freq
一举二得	sogou_sys_freq
一举多得	sogou_sys_freq
一举夺魁	sogou_sys_freq
一举成名	sogou_sys_freq
一举成名天下知	sogou_sys_freq
一举拿下	sogou_sys_freq
一举高中	sogou_sys_freq
一久	sogou_sys_freq
一之濑	sogou_sys_freq
一乍	sogou_sys_freq
一乐	wanxiang_base,sogou_sys_freq
一乐拉面	sogou_sys_freq
一乘	sogou_sys_freq
一乙醇胺	sogou_sys_freq
一九	wanxiang_base,sogou_sys_freq,kdconv_ge2
一九一七	wanxiang_base
一九七九	wanxiang_base
一九三	sogou_sys_freq
一九三一	wanxiang_base
一九三三	wanxiang_base
一九三二	wanxiang_base
一九三五	wanxiang_base
一九三八	wanxiang_base
一九三六	wanxiang_base
一九三四	wanxiang_base
一九九三	wanxiang_base
一九九二	wanxiang_base
一九九六	wanxiang_base
一九九四	wanxiang_base
一九二一	wanxiang_base,sogou_sys_freq
一九二三	wanxiang_base
一九二九	sogou_sys_freq
一九二二	wanxiang_base
一九二五	wanxiang_base
一九二六	wanxiang_base
一九二四	wanxiang_base
一九八七	wanxiang_base
一九八九	wanxiang_base
一九八二	wanxiang_base
一九八五	wanxiang_base
一九八四	sogou_sys_freq
一九六	sogou_sys_freq
一九六六	wanxiang_base
一九四	sogou_sys_freq
一九四一	wanxiang_base
一九四七	wanxiang_base
一九四二	sogou_sys_freq
一九四五	wanxiang_base
一书	wanxiang_base,sogou_sys_freq
一书中	sogou_sys_freq
一书阁	sogou_sys_freq
一买	wanxiang_base,sogou_sys_freq
一了百了	sogou_sys_freq
一争高下	sogou_sys_freq
一事	wanxiang_base,sogou_sys_freq
一事一议	sogou_sys_freq
一事无成	wanxiang_base,sogou_sys_freq
一事通	sogou_sys_freq
一二	wanxiang_base,sogou_sys_freq,kdconv_ge2
一二一	sogou_sys_freq
一二七	wanxiang_base
一二三	wanxiang_base,sogou_sys_freq
一二三四	sogou_sys_freq
一二三四五	sogou_sys_freq
一二九	sogou_sys_freq
一二九运动	sogou_sys_freq
一二代	sogou_sys_freq
一二十	sogou_sys_freq
一二层	sogou_sys_freq
一二年级	sogou_sys_freq
一二技能	sogou_sys_freq
一二月	sogou_sys_freq
一二期	sogou_sys_freq
一二楼	sogou_sys_freq
一二百	sogou_sys_freq
一二级	sogou_sys_freq
一二线	wanxiang_base,sogou_sys_freq
一二节	sogou_sys_freq
一五	sogou_sys_freq
一五一十	sogou_sys_freq
一五八	sogou_sys_freq
一五六	wanxiang_base
一五计划	sogou_sys_freq
一井	sogou_sys_freq
一些	wanxiang_base,sogou_sys_freq,kdconv_ge2
一些东西	wanxiang_base
一些书	wanxiang_base
一些了	wanxiang_base,sogou_sys_freq,kdconv_ge2
一些事	wanxiang_base,sogou_sys_freq
一些事情	wanxiang_base,sogou_sys_freq
一些些	sogou_sys_freq
一些人	wanxiang_base,sogou_sys_freq
一些人的	wanxiang_base
一些列	sogou_sys_freq
一些吧	wanxiang_base,kdconv_ge2
一些国家	wanxiang_base
一些地区	wanxiang_base
一些地方	wanxiang_base
一些城市	wanxiang_base
一些学	wanxiang_base
一些帮助	wanxiang_base
一些年	wanxiang_base
一些很	wanxiang_base
一些情	wanxiang_base
一些情况	wanxiang_base
一些技术	wanxiang_base
一些数据	wanxiang_base
一些新	wanxiang_base
一些时间	sogou_sys_freq
一些的	sogou_sys_freq
一些看法	wanxiang_base
一些细节	wanxiang_base
一些话	wanxiang_base
一些资料	sogou_sys_freq
一些钱	wanxiang_base
一些问题	wanxiang_base,sogou_sys_freq
一交	sogou_sys_freq
一亩	sogou_sys_freq
一亩三分地	sogou_sys_freq
一亩地	sogou_sys_freq
一亩田	sogou_sys_freq
一亮	sogou_sys_freq
一亲芳泽	sogou_sys_freq
一人	wanxiang_base,sogou_sys_freq,kdconv_ge2
一人一个	wanxiang_base,sogou_sys_freq
一人一半	sogou_sys_freq
一人一城	sogou_sys_freq
一人一套	sogou_sys_freq
一人一张	sogou_sys_freq
一人一杯	sogou_sys_freq
一人一档	sogou_sys_freq
一人一次	sogou_sys_freq
一人一票	sogou_sys_freq
一人一花	sogou_sys_freq
一人一间	sogou_sys_freq
一人之下	sogou_sys_freq
一人之下万人之上	sogou_sys_freq
一人份	sogou_sys_freq
一人做事一人当	sogou_sys_freq
一人公司	sogou_sys_freq
一人吃饱	sogou_sys_freq
一人在	wanxiang_base
一人多户	sogou_sys_freq
一人得道	sogou_sys_freq
一人得道鸡犬升天	sogou_sys_freq
一人我饮酒醉	sogou_sys_freq
一人血书	sogou_sys_freq
一人间	sogou_sys_freq
一人食	sogou_sys_freq
一人饮酒醉	sogou_sys_freq
一亿	sogou_sys_freq
一亿个伤心	sogou_sys_freq
一亿像素	sogou_sys_freq
一亿只	wanxiang_base
一亿多	sogou_sys_freq
一仆二主	sogou_sys_freq
一介	sogou_sys_freq
一介书生	sogou_sys_freq
一介草民	sogou_sys_freq
一从	sogou_sys_freq
一仓	sogou_sys_freq
一仓库	sogou_sys_freq
一仗	sogou_sys_freq
一付	sogou_sys_freq
一代	wanxiang_base,sogou_sys_freq,kdconv_ge2
一代一代	wanxiang_base
一代不如一代	sogou_sys_freq
一代人	wanxiang_base,sogou_sys_freq,kdconv_ge2
一代代	wanxiang_base,sogou_sys_freq,kdconv_ge2
一代佳人	sogou_sys_freq
一代又一代	sogou_sys_freq
一代天骄	sogou_sys_freq
一代女皇	sogou_sys_freq
一代宗师	wanxiang_base,sogou_sys_freq,kdconv_ge2
一代文宗	sogou_sys_freq
一代文豪	sogou_sys_freq
一代新人换旧人	sogou_sys_freq
一代更比一代强	sogou_sys_freq
一代枭雄	sogou_sys_freq
一代版本一代神	sogou_sys_freq
一代目	sogou_sys_freq
一代笔	sogou_sys_freq
一代金	sogou_sys_freq
一以贯之	wanxiang_base,sogou_sys_freq
一件	wanxiang_base,sogou_sys_freq
一件一件	sogou_sys_freq
一件事	wanxiang_base,sogou_sys_freq,kdconv_ge2
一件事情	wanxiang_base,sogou_sys_freq
一件代发	sogou_sys_freq
一件件	wanxiang_base,sogou_sys_freq
一件儿	sogou_sys_freq
一件大事	wanxiang_base
一件大衣	sogou_sys_freq
一件好事	wanxiang_base
一件小事	wanxiang_base,sogou_sys_freq
一件衣服	wanxiang_base,sogou_sys_freq
一件货	sogou_sys_freq
一价	sogou_sys_freq
一价全含	sogou_sys_freq
一任	sogou_sys_freq
一任群芳妒	sogou_sys_freq
一份	wanxiang_base,sogou_sys_freq,kdconv_ge2
一份一份	sogou_sys_freq
一份份	sogou_sys_freq
一份力	sogou_sys_freq
一份力量	sogou_sys_freq
一份吧	sogou_sys_freq
一份子	sogou_sys_freq
一份工	wanxiang_base
一份工作	wanxiang_base
一份报	wanxiang_base
一份饭	sogou_sys_freq
一伊	sogou_sys_freq
一休	wanxiang_base,sogou_sys_freq
一休一	sogou_sys_freq
一休哥	sogou_sys_freq
一休息	sogou_sys_freq
一众	wanxiang_base,sogou_sys_freq
一伙	wanxiang_base,sogou_sys_freq
一伙人	sogou_sys_freq
一伙子	sogou_sys_freq
一伙的	wanxiang_base,sogou_sys_freq
一会	wanxiang_base,sogou_sys_freq,kdconv_ge2
一会下班	sogou_sys_freq
一会了	sogou_sys_freq
一会会	sogou_sys_freq
一会儿	wanxiang_base,sogou_sys_freq,kdconv_ge2
一会儿去	sogou_sys_freq
一会儿就	sogou_sys_freq
一会儿聊	sogou_sys_freq
一会儿见	sogou_sys_freq
一会儿说	sogou_sys_freq
一会再	sogou_sys_freq
一会再吃	sogou_sys_freq
一会再说	sogou_sys_freq
一会去	sogou_sys_freq
一会吃	sogou_sys_freq
一会吃饭	sogou_sys_freq
一会吧	sogou_sys_freq
一会回去	sogou_sys_freq
一会子	sogou_sys_freq
一会就	wanxiang_base,sogou_sys_freq
一会就到	sogou_sys_freq
一会就去	sogou_sys_freq
一会就好	sogou_sys_freq
一会就好了	sogou_sys_freq
一会就走	sogou_sys_freq
一会我	sogou_sys_freq
一会我去	sogou_sys_freq
一会找你	sogou_sys_freq
一会来	sogou_sys_freq
一会热	sogou_sys_freq
一会玩	sogou_sys_freq
一会的	sogou_sys_freq
一会给你	sogou_sys_freq
一会聊	sogou_sys_freq
一会要	sogou_sys_freq
一会见	sogou_sys_freq
一会该	sogou_sys_freq
一会说	sogou_sys_freq
一会走	sogou_sys_freq
一伟	sogou_sys_freq
一传	wanxiang_base,sogou_sys_freq
一传十	sogou_sys_freq
一传十十传百	sogou_sys_freq
一伴	sogou_sys_freq
一伸	sogou_sys_freq
一似	sogou_sys_freq
一但	sogou_sys_freq
一位	wanxiang_base,sogou_sys_freq,kdconv_ge2
一位数	sogou_sys_freq
一位朋友	wanxiang_base
一低	sogou_sys_freq
一低头	sogou_sys_freq
一体	wanxiang_base,sogou_sys_freq,kdconv_ge2
一体两翼	sogou_sys_freq
一体两面	sogou_sys_freq
一体册	sogou_sys_freq
一体化	wanxiang_base,sogou_sys_freq
一体化服务	sogou_sys_freq
一体化机柜	sogou_sys_freq
一体化的	wanxiang_base
一体同心	sogou_sys_freq
一体建设	sogou_sys_freq
一体式	wanxiang_base,sogou_sys_freq
一体推进	sogou_sys_freq
一体机	wanxiang_base,sogou_sys_freq
一体板	sogou_sys_freq
一体的	wanxiang_base,sogou_sys_freq
一体盆	sogou_sys_freq
一体绒	sogou_sys_freq
一体裤	sogou_sys_freq
一体轮	sogou_sys_freq
一体锅	sogou_sys_freq
一体阀	sogou_sys_freq
一佛出世	sogou_sys_freq
一作	sogou_sys_freq
一佳	sogou_sys_freq
一例	wanxiang_base,sogou_sys_freq
一供	sogou_sys_freq
一侧	wanxiang_base,sogou_sys_freq
一俊遮百丑	sogou_sys_freq
一信	sogou_sys_freq
一修	sogou_sys_freq
一倍	wanxiang_base,sogou_sys_freq
一倍以上	sogou_sys_freq
一倍半	sogou_sys_freq
一借一贷	sogou_sys_freq
一值	sogou_sys_freq
一偏	sogou_sys_freq
一做	sogou_sys_freq
一停	sogou_sys_freq
一催	sogou_sys_freq
一僧一道	sogou_sys_freq
一僵	sogou_sys_freq
一儿	sogou_sys_freq
一儿一女	sogou_sys_freq
一儿半女	sogou_sys_freq
一元	wanxiang_base,sogou_sys_freq
一元一次	sogou_sys_freq
一元一次不等式	sogou_sys_freq
一元一次方程	sogou_sys_freq
一元二次	sogou_sys_freq
一元二次函数	sogou_sys_freq
一元二次方程	sogou_sys_freq
一元函数	sogou_sys_freq
一元化	sogou_sys_freq
一元复始	sogou_sys_freq
一元宝	sogou_sys_freq
一元店	sogou_sys_freq
一元线性	sogou_sys_freq
一元论	sogou_sys_freq
一元购	sogou_sys_freq
一元路	sogou_sys_freq
