# sentences=861745 tokens=5965161 words=75749
word	count	sentences	left_contexts	right_contexts
一个蛋	2	2	2	1
一个行业	1	1	1	1
一个角色	2	2	1	2
一个词	7	7	7	7
一个说法	3	3	3	1
一个赛	1	1	1	1
一个身	2	2	2	2
一个还	9	9	9	9
一个这	7	6	7	4
一个连	12	12	10	9
一个部	3	3	3	2
一个都	27	27	25	19
一个错误	1	1	1	1
一个问题	13	13	11	10
一个面	3	3	3	3
一个音	4	4	4	3
一中	225	199	100	122
一中学	7	7	5	4
一串	42	42	33	34
一举	24	24	18	12
一举一动	5	5	5	5
一举两得	9	9	9	2
一乐	5	5	4	2
一九	6	6	5	4
一九八二	1	1	1	1
一书	7	7	6	7
一买	10	9	3	9
一事	9	9	8	8
一事无成	25	25	20	15
一二	36	34	24	25
一二三	14	14	9	7
一些	477	476	360	391
一些东西	4	4	4	2
一些书	1	1	1	1
一些事	5	5	5	5
一些事情	2	2	2	2
一些人	48	48	42	42
一些人的	4	4	4	4
一些吧	1	1	1	1
一些国家	7	7	7	7
一些地方	2	2	2	2
一些学	5	5	4	2
一些年	1	1	1	1
一些很	4	4	4	4
一些情	1	1	1	1
一些新	5	5	4	5
一些话	1	1	1	1
一些钱	1	1	1	1
一些问题	3	3	3	2
一人	551	543	295	300
一人一个	3	3	3	3
一人在	5	5	5	5
一亿只	1	1	1	1
一代	170	144	90	92
一代一代	1	1	1	1
一代人	1	1	1	1
一代宗师	10	10	7	9
一件	124	121	81	95
一件事	61	61	44	31
一件事情	12	12	11	9
一件大事	1	1	1	1
一件好事	1	1	1	1
一件衣服	9	9	8	9
一份	141	140	86	95
一份工作	4	4	2	4
一份报	2	2	2	2
一休	893	887	53	427
一伙	3	3	3	3
一会	21	20	16	18
一会儿	17	17	8	7
一传	1	1	1	1
一位	165	163	113	126
一位朋友	1	1	1	1
一体	21	21	17	16
一体化	2	2	2	2
一体的	5	5	4	5
一例	798	791	259	36
一侧	2	2	2	2
一倍	29	29	22	22
一元	42	41	32	33
一克	3	3	3	3
一八一	1	1	1	1
一公斤	24	20	15	15
一公里	4	4	4	4
一共	13	13	10	12
一共有	1	1	1	1
一关	17	17	13	13
一具	5	5	5	5
一再	12	12	11	10
一写	2	2	2	2
一军	9	9	8	5
一冠	2	2	2	2
一冲	4	4	2	4
一出	77	76	59	47
一出场	7	7	7	6
一出来	9	9	9	8
一出生	30	30	21	21
一出问题	1	1	1	1
一刀	35	35	26	26
一分	90	87	50	55
一分一	3	3	2	2
一分为二	2	2	1	1
一分钟	190	190	127	131
一分钱	14	14	6	2
一切	172	170	111	103
一切就	5	5	1	2
一切是	3	3	3	3
一切正常	2	2	1	1
一切的	15	15	12	12
一切都	39	39	32	29
一切都好	3	3	3	2
一切都是	32	30	18	26
一切问题	2	2	2	2
一切顺利	8	8	6	1
一列	8	8	7	6
一则	10	10	7	5
一删	5	5	1	5
一到	82	82	56	68
一刷	6	6	6	6
一刻	19	19	9	15
一副	105	104	65	96
一加	14	14	13	7
一劳永逸	12	12	11	4
一包	149	144	88	102
一匹	14	14	6	4
一千	148	146	99	76
一千一	1	1	1	1
一千万	84	83	53	64
一千三	3	3	3	3
一千个	7	7	5	5
一千个人	1	1	1	1
一千四	3	3	3	3
一千块	13	13	13	13
一千多	26	26	24	15
一千年	7	7	4	6
一半	552	526	274	312
一半了	47	47	27	22
一半左右	1	1	1	1
一半是	12	12	11	11
一半的	69	69	58	45
一单	8	8	7	7
一卷	4	4	3	4
一厢情愿	3	3	2	3
一去	23	23	22	15
一参	1	1	1	1
一双	52	51	37	37
一双鞋	3	3	3	2
一发	203	201	79	130
一发不可	1	1	1	1
一口	137	125	93	94
一口价	2	2	2	2
一口吃	6	6	5	5
一口气	63	63	34	41
一句	184	180	123	133
一句一句	1	1	1	1
一句话	338	337	101	141
一只	640	615	337	389
一只手	59	59	46	36
一只猫	27	25	22	20
一只鸡	49	49	22	23
一台	332	324	194	228
一台电脑	10	10	9	9
一台车	32	32	26	27
一号	70	70	33	51
一吃	47	47	17	38
一同	12	12	11	11
一名	28	28	27	26
一向	17	17	16	13
一向是	1	1	1	1
一吨	1	1	1	1
一听	7	7	5	5
一听到	17	17	14	16
一听就	25	25	16	17
一员	10	10	3	7
一周	131	130	100	85
一周一次	1	1	1	1
一周内	3	3	3	3
一周后	9	9	7	8
一味	14	13	10	9
一呼	4	4	4	3
一命	22	19	17	13
一品	12	12	6	10
一哥	110	110	84	40
一善	42	41	1	16
一嘴	15	15	12	11
一四	3	3	3	3
一回事	42	40	14	13
一回合	6	6	5	6
一团	74	72	42	47
一团糟	2	2	2	2
一国	135	132	55	56
一圈	113	111	44	73
一地	10	10	9	7
一场	234	234	132	141
一场戏	4	4	4	4
一场梦	12	12	11	6
一场比赛	7	7	5	7
一坐	12	12	9	7
一块	155	151	95	101
一块一	2	2	2	1
一块的	9	9	6	8
一块肉	14	14	13	10
一块钱	21	20	20	14
一坨	30	28	24	25
一坨屎	13	13	12	9
一堆	7253	7204	2202	2963
一堆人	2390	2387	844	1052
一塌糊涂	2	2	2	2
一塞	1	1	1	1
一声	117	114	64	63
一壶	5	5	4	5
一处	2	2	2	2
一外	4	4	4	4
一多	5	5	3	5
一夜	95	95	64	52
一夜之间	5	5	4	5
一大	128	128	96	55
一大半	11	11	9	8
一大块	6	6	6	4
一大堆	165	165	130	115
一大堆的	4	4	4	4
一大截	21	21	18	7
一大批	2	2	2	2
一大把	6	6	6	6
一大早	136	136	49	84
一大段	4	4	4	4
一大片	6	6	6	5
一大笔	4	4	4	3
一大笔钱	11	11	10	10
一大群	13	13	13	11
一大部分	3	3	3	3
一大锅	4	4	4	4
一天	1250	1233	538	559
一天一	49	48	31	28
一天下	1	1	1	1
一天中	7	7	4	7
一天之内	3	3	3	3
一天了	9	9	7	7
一天会	25	25	24	21
一天内	9	9	8	9
一天到晚	106	106	67	77
一天天	3	3	2	2
一天时间	2	2	2	2
一天的	72	72	50	47
一天能	9	9	8	5
一天都	41	41	26	26
一头	37	36	31	23
一头雾水	1	1	1	1
一套	77	75	57	58
一女	128	127	15	78
一如	6	6	4	4
一姐	15	15	15	10
一字	36	36	21	20
一字一句	1	1	1	1
一季	19	19	16	13
一学期	27	27	20	24
一官	1	1	1	1
一定	1139	1130	692	651
一定不会	23	23	20	22
一定不是	25	25	15	22
一定不能	6	6	6	6
一定会	265	265	185	214
一定会有	43	43	31	34
一定可以	17	17	13	13
一定在	15	15	14	15
一定好	10	10	9	7
一定就是	2	2	2	2
一定很	147	147	115	87
一定得	11	10	10	10
一定数量	1	1	1	1
一定时间	2	2	2	2
一定是	465	464	248	360
一定是在	1	1	1	1
一定是有	13	13	10	10
一定有	195	194	142	144
一定比例	5	5	4	5
一定的	23	23	20	21
一定程度	13	13	6	10
一定能	17	17	17	17
一定能够	1	1	1	1
一定范围	2	2	2	1
一定要	1145	1143	655	702
一定要在	20	20	17	20
一定要带	11	11	11	10
一定要把	7	7	7	7
一定要有	66	66	48	61
一定要用	37	37	32	33
一定要看	10	10	8	10
一定要试	1	1	1	1
一定要说	6	6	6	6
一定还	11	11	11	8
一定量	1	1	1	1
一定需要	2	2	2	2
一定非	1	1	1	1
一审	1	1	1	1
一家	250	246	136	139
一家三口	1	1	1	1
一家人	32	31	23	28
一家子	1	1	1	1
一家店	4	4	4	3
一家独大	5	4	5	4
一宿	2	2	2	2
一寸	6	3	4	4
一对	68	68	56	50
一对一	19	19	18	18
一对一的	1	1	1	1
一对多	1	1	1	1
一对情侣	5	5	4	5
一封	17	16	12	13
一封信	6	6	6	4
一尊	6	6	6	6
一小块	9	9	9	7
一小时	216	213	162	138
一小段	7	7	7	6
一小部分	2	2	2	2
一尘	1	1	1	1
一尺	3	3	3	3
一局	21	21	17	19
一屁股	9	9	6	5
一层	54	45	37	33
一层层	1	1	1	1
一届	25	22	18	16
一山	9	5	7	6
一岁	22	22	14	17
一州	22	22	6	12
一巴掌	25	25	22	15
一帆风顺	6	6	6	3
一带	31	31	27	26
一带一路	56	56	31	43
一席之地	4	4	2	2
一帮	1	1	1	1
一幅	3	3	1	3
一幅画	5	5	3	1
一幕	9	8	7	7
一干	15	15	7	13
一干二净	4	4	3	3
一年	667	655	388	417
一年一度	7	7	3	4
一年中	3	3	3	3
一年之后	1	1	1	1
一年了	19	19	15	14
一年以上	1	1	1	1
一年内	11	11	9	11
一年到头	6	6	6	6
一年前	15	15	7	10
一年半	11	11	9	8
一年半载	1	1	1	1
一年后	31	31	24	26
一年四季	8	8	6	7
一年多	13	13	11	12
一年多了	4	4	4	4
一年就	30	30	30	30
一年时间	6	6	6	6
一年的	44	44	34	34
一年级	16	16	9	14
一年都	11	11	11	11
一并	14	14	12	13
一度	43	43	27	19
一座	47	47	32	41
一座山	5	5	5	3
一建	1	1	1	1
一开	62	62	41	37
一开口	29	29	20	17
一开始	347	346	189	277
一开始就	125	125	83	104
一开始是	26	26	18	24
一开始的	17	17	12	17
一开始还	13	13	8	10
一张	378	371	229	266
一张卡	7	7	6	4
一张嘴	38	38	20	24
一张图	17	17	13	16
一张床	6	6	5	6
一张张	2	2	2	2
一张照	1	1	1	1
一张照片	6	6	6	6
一张牌	4	4	3	4
一张白纸	1	1	1	1
一张纸	14	14	12	10
一张脸	6	6	6	5
一心	20	20	14	15
一心一意	2	2	2	2
一心想	5	5	4	4
一念	11	11	7	8
一怒之下	1	1	1	1
一想到	12	12	4	12
一愣	2	1	2	2
一成	20	19	16	16
一成不变	6	6	6	2
一战	100	99	56	55
一战成名	5	5	5	5
一户	19	18	17	18
一所	12	12	7	7
一所大学	3	3	2	2
一所学校	2	2	2	2
一扇	8	8	7	4
一扇门	6	6	4	6
一手	95	86	63	55
一打	42	42	39	30
一打开	9	9	8	9
一扫	6	6	3	6
一批	44	42	25	36
一批人	6	5	6	6
一技之长	28	28	21	15
一把	251	251	110	102
一把刀	5	5	5	5
一把年纪	12	12	8	6
一把把	1	1	1	1
一护	14	14	9	12
一抹	5	5	4	5
一拉	12	12	6	10
一拍	5	5	5	5
一招	33	33	22	25
一拜	4	4	3	2
一拨	1	1	1	1
一拳	145	143	93	76
一挖	2	2	2	2
一掌	8	8	7	8
一排	33	33	27	28
一探究竟	1	1	1	1
一推	10	10	9	10
一提	15	15	9	15
一提到	9	9	6	9
一摊	13	13	10	11
一摸	12	12	7	9
一支	135	134	88	103
一支球队	1	1	1	1
一支笔	2	2	2	1
一改	5	5	5	5
一整	101	101	77	50
一整个	53	53	46	49
一整天	150	149	111	86
一整套	1	1	1	1
一整年	34	34	31	26
一文	7	7	6	6
一文不值	5	5	4	3
一斤	25	22	20	20
一方	46	42	33	32
一方通行	4	4	2	3
一方面	8	5	6	8
一方面是	2	2	2	2
一旁	8	8	8	8
一族	31	31	19	20
一无所有	16	16	9	11
一无所知	1	1	1	1
一无是处	9	9	9	5
一日	203	201	100	109
一日三餐	2	2	2	1
一日游	30	30	21	18
一日的	13	13	7	7
一旦	28	28	19	24
一早	130	130	45	75
一时	49	46	29	41
一时之间	2	2	2	2
一时兴起	2	2	2	2
一时冲动	7	7	5	7
一时期的	1	1	1	1
一时爽	5	5	3	2
一时的	18	18	11	17
一时间	2	2	2	2
一星期	37	37	32	29
一是	29	29	20	21
一晃	3	3	2	3
一晚	75	74	44	55
一晚上	11	11	9	9
一曲	8	8	6	6
一月	28	25	22	26
一月份	1	1	1	1
一有	28	28	24	22
一朋友	1	1	1	1
一朝	3	3	3	3
一期	12	12	10	10
一本	91	91	73	72
一本书	35	35	30	23
一本小说	18	18	16	16
一本正经	2	2	1	1
一本的	2	2	2	2
一朵	14	14	9	9
一朵花	9	9	7	3
一杆	3	3	2	2
一村	1	1	1	1
一束	2	2	2	2
一条	290	285	197	201
一条一条	5	5	4	4
一条命	3	3	3	3
一条是	2	2	2	2
一条条	1	1	1	1
一条狗	11	11	6	10
一条直线	3	3	3	3
一条线	27	27	22	17
一条腿	5	5	5	2
一条街	5	5	3	3
一条路	11	11	10	11
一条龙	82	82	55	54
一来	10	10	10	10
一来就	10	10	8	9
一杯	178	177	99	111
一杯咖啡	8	8	8	8
一杯水	6	6	4	4
一板一眼	2	2	1	2
一枚	23	23	22	18
一枝独秀	2	2	2	1
一枪	255	252	38	143
一架	18	18	14	16
一架飞机	2	2	2	2
一查	6	6	5	6
一栋	50	49	40	31
一栋楼	1	1	1	1
一株	2	2	2	2
一样	5356	5321	2639	1886
一样东西	12	12	12	12
一样了	23	23	22	11
一样会	82	82	75	70
一样可以	26	26	26	24
一样吗	150	150	129	5
一样吧	45	45	44	13
一样啊	172	172	153	83
一样在	19	19	19	18
一样多	50	49	46	26
一样大	55	55	51	33
一样是	163	162	124	134
一样有	85	85	78	58
一样的	581	573	388	278
一样的人	23	23	20	17
一样的是	3	3	3	3
一样看	9	9	8	9
一样能	18	18	18	17
一样都	32	32	23	32
一样都是	30	30	26	30
一样高	53	53	41	19
一根	148	147	81	91
一根筋	1	1	1	1
一格	41	35	21	20
一桌	41	41	31	34
一档	8	7	7	7
一桩	3	3	3	3
一桶	60	60	31	40
一桶金	7	7	5	6
一棒	14	14	7	9
一棵树	6	6	6	5
一楼	28	28	13	23
一概不	3	3	3	3
一概而论	2	2	2	1
一模一样	69	69	57	15
一横	3	3	2	3
一次	1672	1648	860	838
一次一次	2	2	1	2
一次两次	1	1	1	1
一次买	20	20	16	18
一次了	10	10	10	4
一次会	6	6	6	5
一次发	6	6	5	6
一次就	88	88	78	65
一次性	5	5	5	5
一次性的	1	1	1	1
一次成	1	1	1	1
一次成功	1	1	1	1
一次是	14	14	12	14
一次机会	12	12	9	9
一次来	4	4	4	4
一次次	1	1	1	1
一次点	4	4	4	3
一次的	54	54	43	34
一次考	1	1	1	1
一次过	10	10	8	10
一款	90	90	45	53
一款游戏	12	12	9	9
一款车	1	1	1	1
一步	73	71	52	44
一步一步	9	9	7	6
一步到位	2	2	2	2
一步步	1	1	1	1
一步登天	2	2	1	2
一步走	2	2	1	2
一段	95	94	63	66
一段时间	90	89	70	55
一段话	8	8	8	7
一段距离	2	2	2	2
一比	24	20	21	19
一毕业	17	17	12	14
一毛	20	20	20	17
一毛钱	10	10	10	7
一气	2	2	2	2
一气之下	1	1	1	1
一氧化碳	4	4	4	2
一波	175	168	88	88
一波的	3	3	3	2
一派	6	6	6	6
一流	33	24	21	17
一流大学	2	2	2	2
一流的	12	12	9	9
一清二楚	5	5	5	4
一炮	20	19	14	14
一点	1537	1504	826	759
一点一	1	1	1	1
一点一滴	3	3	3	3
一点一点	8	8	8	7
一点不	19	19	19	13
一点也	10	10	10	9
一点也不	39	39	37	35
一点了	5	5	4	4
一点事	2	2	2	2
一点儿	3	2	3	3
一点关系	16	16	15	2
一点吧	11	11	11	3
一点味	1	1	1	1
一点大	2	2	2	2
一点好	57	56	53	12
一点就	70	70	60	58
一点心	2	2	2	2
一点时间	13	13	12	12
一点来	2	2	2	2
一点点	127	125	100	86
一点点的	8	8	7	8
一点用	12	12	11	3
一点的	168	168	118	130
一点资讯	1	1	1	1
一点都不	109	109	80	78
一点钱	21	21	16	19
一片	207	198	133	123
一片混乱	1	1	1	1
一片漆黑	2	2	1	2
一片空白	3	3	3	1
一猜	2	2	1	2
一玩	3	3	3	3
一环	14	14	6	8
一班	69	67	25	48
一球	11	11	9	11
一瓶	59	59	41	48
一生	236	235	138	147
一生中	21	21	14	18
一生中最	3	3	3	3
一生的	32	32	23	22
一用	6	6	4	6
一男一女	9	9	7	9
一番	100	98	26	67
一番话	1	1	1	1
一病	2	2	2	2
一白	3	3	3	3
一百	269	265	170	121
一百万	103	102	69	74
一百三	2	2	2	2
一百个	21	20	17	18
一百倍	11	11	10	4
一百块	35	35	25	28
一百多	27	27	21	17
一百多万	6	6	6	5
一百多个	3	3	3	3
一百多年	3	3	3	3
一百年	26	26	18	14
一百年前	5	5	4	5
一盅	1	1	1	1
一盆	9	9	6	8
一盏	14	14	6	2
一盒	41	41	29	36
一盘	42	41	31	34
一目了然	3	3	3	1
一直	3167	3115	1294	1220
一直不	90	90	68	72
一直以为	15	15	12	13
一直以来	16	16	14	12
一直使用	1	1	1	1
一直保持	2	2	2	2
一直做	19	19	17	16
一直到	14	14	12	12
一直去	17	17	14	15
一直叫	94	94	66	43
一直吐	9	8	9	8
一直听	27	27	16	13
一直在	235	235	156	179
一直在想	4	4	4	4
一直在用	2	2	2	2
一直在看	8	8	8	6
一直在说	7	7	5	5
一直处于	2	2	2	2
一直存在	3	3	3	3
一直对	38	38	31	16
一直开	42	42	33	33
一直强调	16	16	11	15
一直很	39	39	23	34
一直想	120	120	74	88
一直把	26	26	19	24
一直是	19	19	18	19
一直有	99	99	73	63
一直没	28	28	24	25
一直没有	8	8	7	8
一直用	43	43	27	39
一直笑	21	20	20	9
一直给	3	3	3	3
一直被	247	247	146	181
一直要	65	65	47	51
一直觉得	31	31	16	31
一直认为	7	7	7	7
一直说	151	149	86	103
一直走	17	17	11	10
一直这样	6	6	6	6
一直追	8	7	8	8
一直都	67	67	50	57
一直都在	14	14	13	13
一直都很	27	27	20	25
一直都是	51	51	44	44
一直都有	19	19	15	17
一看	28	28	22	22
一看到	20	20	16	18
一看就	20	20	18	18
一看就是	10	10	8	9
一看就知	58	58	35	8
一眨	2	2	2	2
一眼	66	65	40	33
一眼就	15	15	14	13
一睁	1	1	1	1
一睡	17	17	9	11
一瞬	2	2	2	2
一瞬间	19	19	19	15
一知半解	3	3	3	2
一碗	204	196	98	108
一碟	3	3	1	1
一碰	6	6	6	4
一磅	3	3	3	3
一社	1	1	1	1
一票	66	65	54	40
一种	690	671	271	441
一种东西	3	3	3	3
一种享受	1	1	1	1
一种叫	1	1	1	1
一种可能	1	1	1	1
一种情	1	1	1	1
一种感觉	4	4	4	4
一种新的	1	1	1	1
一种方法	1	1	1	1
一种是	46	29	26	40
一种特殊	1	1	1	1
一种状态	2	2	2	1
一种美	1	1	1	1
一种风	2	2	2	1
一科	19	19	15	15
一秒	92	92	53	57
一秒钟	16	16	15	13
一穷二白	2	2	2	2
一空	4	4	3	3
一窍不通	1	1	1	1
一窝	53	52	44	11
一站	17	17	14	16
一章	6	6	6	5
一端	2	1	2	2
一竿	10	10	10	2
一笑	20	20	15	11
一笑而过	2	2	2	1
一笔	97	92	51	52
一笔钱	26	26	24	22
一笼	3	3	3	3
一等	27	27	21	17
一等一	1	1	1	1
一筹	3	3	2	2
一算	4	4	4	4
一管	6	6	3	6
一箭	5	5	3	3
一箱	24	21	19	22
一篇	434	423	181	238
一篇文	28	28	20	24
一篇文章	19	19	15	19
一篇长	1	1	1	1
一米	2	2	2	1
一类	17	17	10	14
一类人	1	1	1	1
一类是	1	1	1	1
一类的	7	7	7	6
一粒	40	36	28	17
一系列	5	5	5	5
一系列的	2	2	2	2
一级	42	41	36	32
一级棒	11	10	10	8
一级的	2	2	1	2
一线	76	76	59	45
一线城市	9	9	4	6
一组	69	69	55	50
一绝	12	12	7	3
一统	21	21	21	16
一统天下	6	6	5	5
一罐	87	86	53	64
一网打尽	2	2	2	2
一美元	2	2	2	2
一群	473	468	216	305
一群人	135	134	85	100
一翻	8	8	8	4
一而	3	3	2	2
一职	11	11	11	11
一股	61	61	39	40
一胎	15	14	10	5
一脉相承	2	2	2	2
一脚	46	42	31	29
一脚踹	2	2	2	2
一脸	133	133	81	102
一致	56	56	38	37
一致性	3	3	3	3
一致的	14	14	14	7
一致认为	2	2	2	2
一般	424	423	220	280
一般一	1	1	1	1
一般不	3	3	2	2
一般不会	3	3	3	3
一般了	1	1	1	1
一般人	398	395	203	305
一般会	5	5	5	5
一般使用	1	1	1	1
一般只	1	1	1	1
一般地	1	1	1	1
一般情况	1	1	1	1
一般是	10	10	8	10
一般有	1	1	1	1
一般来讲	2	2	2	2
一般来说	25	25	12	25
一般生	4	4	3	4
一般的	50	49	31	48
一般的小	1	1	1	1
一般而言	3	3	2	3
一般般	10	10	9	5
一般要	2	2	2	2
一般都	21	21	16	19
一般都会	4	4	4	4
一般都是	9	9	5	9
一般都要	2	2	2	2
一艘	26	25	20	19
一节	16	15	14	15
一节课	3	3	3	3
一花	1	1	1	1
一落千丈	3	3	3	2
一血	2	2	2	2
一行	34	33	20	22
一行人	13	13	12	11
一行字	2	2	2	2
一补	2	2	1	2
一袋	25	25	19	22
一见	20	20	14	9
一见钟情	16	15	13	11
一视同仁	5	5	5	4
一览	4	4	4	3
一觉醒来	35	35	10	18
一角	11	11	10	11
一言	24	24	16	7
一言难尽	4	4	4	3
一记	9	9	9	9
一词	62	62	49	44
一试	13	13	11	6
一说	50	50	29	34
一说到	3	3	2	3
一课	6	6	5	3
一败	4	4	4	2
一贯	21	20	15	5
一贯的	3	3	3	3
一走	7	6	7	7
一起	1244	1233	755	711
一起上	41	41	37	34
一起了	5	5	5	3
一起住	11	11	10	8
一起做	23	23	23	22
一起出去	8	8	7	6
一起分享	2	2	2	2
一起加油	4	4	3	2
一起努力	4	4	4	3
一起去	126	126	101	100
一起吃	102	100	85	59
一起吃饭	28	28	27	20
一起吗	4	4	3	1
一起吧	2	2	2	2
一起喝	15	15	15	13
一起在	10	10	10	10
一起坐	8	8	8	6
一起学	1	1	1	1
一起工作	4	4	4	3
一起打	20	20	16	15
一起来	39	39	28	29
一起玩	45	45	43	38
一起玩的	3	3	3	2
一起生活	5	5	5	3
一起用	10	10	9	8
一起的	29	29	25	16
一起看	40	40	36	34
一起聊天	1	1	1	1
一起走	15	15	13	12
一起过	21	21	20	17
一起逛	2	2	2	2
一趟	74	74	57	63
一路	141	137	101	100
一路上	11	11	7	9
一路的	4	4	3	3
一路走	2	2	2	2
一路走来	5	5	5	4
一蹶不振	7	7	5	5
一身	56	56	45	42
一身黑	2	2	2	1
一躺	3	3	2	3
一车	19	18	15	15
一转眼	5	5	4	3
一轮	59	58	44	34
一辆	21	20	16	19
一辈	34	34	10	20
一辈子	591	586	321	293
一辈子的	40	40	34	32
一边	371	270	227	214
一边是	9	6	8	8
一边看	11	11	7	10
一边说	10	8	9	10
一过	21	21	16	18
一进	31	31	19	24
一进去	28	28	23	24
一进门	1	1	1	1
一连	4	4	4	4
一连串	7	7	7	6
一逛	2	2	2	2
一逼	1	1	1	1
一遍	68	66	53	34
一道	58	58	37	33
一道口	1	1	1	1
一道菜	9	9	9	7
一道题	1	1	1	1
一郎	21	21	14	18
一部	292	291	115	105
一部作品	3	3	3	2
一部分	129	129	41	51
一部分人	3	3	3	2
一部分是	1	1	1	1
一部分的	4	4	4	4
一部电影	24	24	19	14
一针见血	2	2	2	2
一锅	35	34	22	33
一键	11	9	9	11
一长	9	9	6	8
一长串	2	2	1	2
一门	19	18	16	12
一门语言	1	1	1	1
一门课	1	1	1	1
一闪	14	10	7	9
一闪而过	1	1	1	1
一问	27	27	26	9
一间	365	356	165	225
一队	48	47	28	38
一阵	46	45	31	34
一阵子	121	121	92	73
一集	92	90	59	52
一零	3	3	3	2
一面	89	82	63	40
一面镜子	4	4	4	4
一页	32	32	19	21
一顶	17	16	14	13
一项	28	28	23	23
一顿	48	48	38	28
一顿饭	4	4	4	4
一颗	393	378	245	233
一颗颗	4	4	4	3
一题	15	15	12	15
一飞冲天	4	4	4	3
一餐	166	163	68	99
一馆	4	4	2	4
一首	156	155	58	73
一首歌	140	140	56	53
