# sentences=92558 tokens=745571 words=26623
word	count	sentences	left_contexts	right_contexts
一到	1	1	1	1
一到两个	1	1	1	1
一刻	8	8	2	8
一包	1	1	1	1
一千万	3	3	1	1
一半	3	3	2	3
一半是	1	1	1	1
一半的	2	2	2	2
一单	1	1	1	1
一去	21	21	10	10
一双	1	1	1	1
一发	15	15	8	7
一发不可	7	7	5	2
一口	1	1	1	1
一口气	3	3	3	2
一句	2	2	2	2
一句话	2	2	2	2
一只	6	6	6	6
一只手	2	2	1	1
一台	1	1	1	1
一号	40	39	9	24
一同	1	1	1	1
一名	264	261	53	84
一向	15	15	10	11
一向是	1	1	1	1
一听	29	29	8	8
一听就	4	4	1	3
一员	2	2	1	1
一周	7	7	4	3
一团	3	3	1	1
一团糟	1	1	1	1
一圈	19	19	5	9
一地	1	1	1	1
一场	25	25	13	12
一块	21	20	18	13
一块儿	1	1	1	1
一堆	1	1	1	1
一塌糊涂	3	3	2	3
一声	4	4	3	3
一处	20	20	10	9
一外	2	2	2	2
一夜	10	10	7	4
一夜之间	1	1	1	1
一大	6	6	5	5
一大堆	3	3	2	3
一大家	1	1	1	1
一大批	1	1	1	1
一大群	1	1	1	1
一天	33	33	19	27
一天时间	4	4	4	4
一天的	3	3	3	3
一天都	3	3	3	3
一头	3	2	2	2
一套	1	1	1	1
一女	1	1	1	1
一季	1	1	1	1
一定	124	123	60	73
一定一定	2	2	1	1
一定不会	6	6	6	6
一定不是	2	2	2	2
一定会	30	30	26	26
一定会有	5	5	5	5
一定在	2	2	2	2
一定好	4	4	3	3
一定很	95	95	44	36
一定得	5	5	5	4
一定是	26	26	22	25
一定有	10	10	6	6
一定的	19	19	6	8
一定要	22	22	16	10
一定要带	1	1	1	1
一定要看	3	3	2	3
一定记得	1	1	1	1
一家	85	85	38	47
一家人	4	4	4	4
一家医院	1	1	1	1
一对	12	12	7	9
一尊	2	2	2	1
一小时	59	30	2	2
一小部分	2	2	2	1
一层	1	1	1	1
一届	7	7	4	4
一山	4	4	1	4
一岁	2	2	2	2
一巴掌	1	1	1	1
一帆风顺	1	1	1	1
一带	6	6	2	2
一幅画	1	1	1	1
一年	76	76	7	20
一年制	1	1	1	1
一年半	1	1	1	1
一年四季	7	7	2	2
一年多	1	1	1	1
一年的	2	2	2	2
一年级	1	1	1	1
一并	2	2	2	2
一度	5	4	4	5
一座	113	113	29	33
一开始	11	11	10	7
一开始是	1	1	1	1
一张	144	141	40	39
一张嘴	1	1	1	1
一想到	1	1	1	1
一成	3	3	1	2
一战	3	3	2	2
一所	22	22	11	15
一所大学	1	1	1	1
一所学校	2	2	2	2
一手	5	5	4	4
一打	1	1	1	1
一批	10	10	7	7
一把	4	4	3	2
一拍	1	1	1	1
一推	2	2	1	1
一提	5	5	4	2
一提到	1	1	1	1
一支	19	19	8	9
一改	1	1	1	1
一整	1	1	1	1
一整天	6	6	4	5
一斤	4	4	1	1
一方	1	1	1	1
一族	1	1	1	1
一无所有	3	3	3	2
一无所知	14	14	10	5
一日	3	3	1	1
一日游	1	1	1	1
一时	28	28	15	9
一时的	7	7	4	6
一时间	1	1	1	1
一是	1	1	1	1
一晃	2	2	2	2
一曲	5	5	3	3
一期	2	2	1	2
一本	12	12	5	7
一本书	1	1	1	1
一本小说	1	1	1	1
一朵	10	10	1	1
一条	31	31	21	18
一条狗	1	1	1	1
一条街	6	6	2	5
一杯	1	1	1	1
一枚	11	11	8	5
一枪	1	1	1	1
一架	2	2	1	1
一查	1	1	1	1
一株	1	1	1	1
一样	84	84	45	49
一样了	3	3	3	3
一样吗	1	1	1	1
一样吧	1	1	1	1
一样啊	1	1	1	1
一样是	2	2	2	2
一样的	9	9	9	9
一档	1	1	1	1
一桩	1	1	1	1
一楼	2	2	1	2
一模一样	1	1	1	1
一次	35	35	29	22
一次的	1	1	1	1
一步	1	1	1	1
一步一步	1	1	1	1
一步之遥	2	2	2	2
一段	18	18	16	15
一段时间	8	8	4	4
一气	1	1	1	1
一气呵成	1	1	1	1
一派	1	1	1	1
一流	4	4	3	3
一流的	7	7	4	4
一点	99	99	32	60
一点不	7	7	7	6
一点也	1	1	1	1
一点也不	10	10	10	8
一点了	2	2	2	1
一点时间	2	2	1	2
一点点	8	8	5	8
一点的	13	13	9	11
一点都不	19	19	9	7
一片	30	30	13	13
一猜	1	1	1	1
一班	1	1	1	1
一生	48	48	15	37
一生的	4	4	2	2
一番	6	6	5	4
一百	1	1	1	1
一百万	2	2	2	1
一百倍	1	1	1	1
一百多	2	2	2	2
一百多年	1	1	1	1
一盆	1	1	1	1
一直	43	43	40	34
一直不	9	9	4	3
一直不错	1	1	1	1
一直也	1	1	1	1
一直以为	4	4	3	2
一直以来	1	1	1	1
一直保持	3	3	3	3
一直做	1	1	1	1
一直到	5	5	4	4
一直在	8	8	7	7
一直开	9	9	1	1
一直很	17	17	16	15
一直想	5	5	5	4
一直是	12	12	9	8
一直没	9	9	3	3
一直给	1	1	1	1
一直要	2	2	2	1
一直觉得	3	3	2	3
一直都	8	8	7	7
一直都在	1	1	1	1
一直都很	7	7	6	6
一直都是	4	4	4	4
一看	68	68	27	29
一看到	1	1	1	1
一看就	3	3	3	3
一看就是	2	2	1	2
一看就知	1	1	1	1
一眼	5	5	4	4
一碟	3	3	1	2
一票	4	4	4	1
一种	24	24	18	17
一种享受	1	1	1	1
一种是	4	3	3	3
一秒	1	1	1	1
一站	1	1	1	1
一笔	1	1	1	1
一等一	1	1	1	1
一等奖	2	2	1	2
一算	1	1	1	1
一篇	2	2	2	2
一类	2	2	1	2
一类的	2	2	2	2
一系列	9	9	5	6
一系列的	2	2	2	2
一级	18	18	6	3
一级棒	2	2	2	2
一级的	1	1	1	1
一线	22	22	12	8
一组	2	2	1	1
一经	5	5	5	3
一绝	1	1	1	1
一群	9	9	8	8
一脚	6	3	2	3
一致	31	31	9	4
一般	164	164	43	37
一般一	1	1	1	1
一般人	14	14	9	13
一般会	1	1	1	1
一般啊	5	5	4	3
一般啦	1	1	1	1
一般在	8	8	5	6
一般建议	1	1	1	1
一般情况	1	1	1	1
一般是	12	12	3	6
一般有	5	5	3	3
一般的	15	15	8	13
一般能	5	5	4	2
一般般	2	2	2	2
一般般吧	2	2	1	2
一般都	6	6	6	5
一般都会	1	1	1	1
一般都是	30	30	4	7
一行	3	2	3	3
一见	2	2	1	1
一观	3	3	2	3
一览	2	2	2	2
一角	12	11	9	11
一言	1	1	1	1
一词	1	1	1	1
一说	63	63	10	34
一说到	5	5	3	5
一贯的	1	1	1	1
一起	91	90	57	56
一起上	2	2	1	1
一起去	41	41	31	26
一起学习	1	1	1	1
一起打	1	1	1	1
一起来	3	3	2	1
一起玩	2	2	2	2
一起生活	1	1	1	1
一起的	1	1	1	1
一起看	6	6	6	4
一起看看	4	4	4	4
一起过	2	2	2	1
一起逛	3	3	3	3
一趟	10	10	7	4
一路	4	4	4	4
一路上	1	1	1	1
一路走来	3	3	3	3
一身	10	10	7	4
一轮	1	1	1	1
一辆	1	1	1	1
一辈子	9	9	9	8
一边	6	4	6	6
一进	2	2	2	2
一连串	3	3	2	2
一逛	2	2	1	2
一遍	59	59	24	18
一道	10	10	6	5
一郎	3	3	1	2
一部	1043	1037	153	241
一部作品	18	18	13	16
一部分	12	12	5	5
一部分人	1	1	1	1
一部小说	3	3	3	2
一部电影	105	105	41	44
一长	1	1	1	1
一问	3	3	3	3
一间	1	1	1	1
一阵	2	2	2	2
一集	13	13	10	8
一面	3	3	3	3
一顶	2	2	1	1
一项	7	7	5	4
一顿	2	2	2	2
一颗	2	2	1	1
一颗颗	1	1	1	1
一首	105	105	41	51
一首歌	168	168	28	30
一鸣惊人	4	4	4	3
丁	44	44	17	23
丁家	3	3	1	1
丁目	9	9	2	1
丁香	1	1	1	1
七	139	137	65	25
七七	1	1	1	1
七个	12	10	7	7
七八	2	2	2	1
七十	40	40	19	13
七十八	2	2	2	1
七十年代	1	1	1	1
七号	3	3	1	3
七天	2	2	2	1
七宗罪	24	23	17	15
七岁	11	11	4	2
七年	2	2	2	2
七彩	1	1	1	1
七日	1	1	1	1
七月	2	2	2	2
七次	2	2	2	2
万	239	239	87	57
万一	4	4	3	4
万亩	12	12	6	6
万人	2	2	2	2
万人次	5	5	4	5
万件	2	2	2	1
万余	2	2	2	2
万佛	5	5	4	1
万元	7	7	6	5
万册	2	2	2	2
万千	7	7	5	2
万华	4	4	1	1
万历	2	2	2	2
万古	3	3	2	1
万圣节	1	1	1	1
万多	2	2	2	2
万岁	4	4	2	4
万平方米	7	7	4	6
万年	1	1	1	1
万张	52	51	22	19
万日元	6	6	1	6
万欧元	2	2	2	2
万美元	102	102	39	39
万美元的	15	15	7	6
万美金	4	4	3	3
万能	7	7	5	2
万能的	2	2	2	2
万花	4	4	2	2
万象	1	1	1	1
丈	2	2	2	2
丈夫	7	7	3	4
丈夫的	1	1	1	1
三	134	131	70	41
三世	2	2	1	2
三个	51	48	33	28
三个主	1	1	1	1
三个人	5	5	5	3
三个国家	9	9	7	7
三个大	1	1	1	1
三个女	1	1	1	1
三个字	1	1	1	1
三个小时	3	3	3	3
三个月	1	1	1	1
三个部分	1	1	1	1
三中	1	1	1	1
三人	20	20	17	7
三代	2	2	2	2
三位	12	12	6	5
三位一体	3	3	1	1
三兄弟	2	2	1	2
三分	1	1	1	1
三分之一	1	1	1	1
三分钟	1	1	1	1
三十	75	75	32	22
三十多	17	17	5	3
三十多岁	8	8	7	7
三十多年	2	2	2	2
三十岁	32	32	15	13
三十年	12	12	10	8
三十年前	2	2	2	2
三千	3	3	3	2
三叠	2	1	2	1
三口	1	1	1	1
三叶	2	2	1	1
三号	1	1	1	1
三四	5	5	2	2
三四十	1	1	1	1
三国	10	10	6	6
三国演义	1	1	1	1
三地	14	14	7	7
三块	7	7	4	2
三大	30	29	18	17
三天	1	1	1	1
三女	1	1	1	1
三姐	2	2	2	1
三季	1	1	1	1
三宅	1	1	1	1
三家	1	1	1	1
三层	7	7	7	6
三届	91	84	32	11
三岁	2	2	2	2
三年	7	7	7	4
三年时间	2	2	2	2
三年级	1	1	1	1
三度	26	26	17	3
三座	6	6	5	5
三张	3	3	2	2
三日	1	1	1	1
三星	10	10	1	1
三月份	1	1	1	1
三条	2	2	1	1
三杰	1	1	1	1
三次	5	5	3	3
三段	2	2	1	1
三清	2	2	1	1
三环	28	28	4	6
三生	2	2	2	1
三田	1	1	1	1
三甲	1	1	1	1
三百	1	1	1	1
三种	14	14	11	7
三者	1	1	1	1
三观	1	1	1	1
三角	4	2	2	3
三部	9	9	5	8
三部分	1	1	1	1
三部曲	28	28	14	19
三里屯	186	178	47	70
三重	3	3	3	3
三集	1	1	1	1
三面	2	2	2	1
三项	13	13	5	3
三首	10	9	7	3
三高	1	1	1	1
三鼎	2	2	2	2
上	442	442	185	178
上一	4	4	4	3
上一个	5	5	5	5
上一代	1	1	1	1
上一层	2	2	1	1
上一年	1	1	1	1
上一张	1	1	1	1
上三	1	1	1	1
上上	22	22	14	1
上下两	3	3	2	2
上下班	1	1	1	1
上世纪	5	5	5	4
上个	5	5	5	4
上个世纪	4	4	3	4
上个月	9	9	3	7
上书	1	1	1	1
上了	6	6	5	6
上写	4	4	3	3
上初中	3	3	3	3
上加	1	1	1	1
上北京	1	1	1	1
上千	6	6	5	4
上千年	1	1	1	1
上升	1	1	1	1
上升到	1	1	1	1
上升期	2	2	2	1
上升趋势	1	1	1	1
上午	22	22	13	5
上半	5	5	4	1
上博	3	3	1	1
上去	6	6	5	6
上去了	1	1	1	1
上去看	3	3	2	2
上可以	3	3	2	3
上周	19	19	5	8
上大学	2	2	2	2
上大学时	1	1	1	1
上大学的	2	2	2	2
上天	2	2	1	1
上学	3	3	3	3
上学的	7	7	4	3
上完	1	1	1	1
上尉	7	7	5	4
上层	2	2	2	2
上山	3	3	1	1
上市	14	14	8	8
上市了	15	15	10	7
上市公司	13	13	6	5
上帝	3	3	2	1
上心	1	1	1	1
上排名	3	3	2	2
上推荐	1	1	1	1
上提	3	3	3	1
上方	17	17	10	3
上映	1583	1573	106	106
上映时	136	135	38	9
上月	1	1	1	1
上有	14	14	7	7
上本	1	1	1	1
上来	17	17	4	6
上来了	2	2	2	1
上来讲	1	1	1	1
上来说	2	2	1	2
上架	1	1	1	1
上梁	1	1	1	1
上次	6	6	6	6
上次去	2	2	2	2
上次和	1	1	1	1
上次我	3	3	2	2
上流	1	1	1	1
上流社会	2	2	1	1
上海	83	83	45	24
上海人	3	3	3	3
上海市	3	3	2	3
上海电	16	16	9	2
上海话	3	3	2	3
上游	1	1	1	1
上演	12	12	5	6
上火	5	5	1	1
上热搜	1	1	1	1
上片	1	1	1	1
上班的	1	1	1	1
上瘾	1	1	1	1
上百	9	9	5	3
上百个	2	2	1	1
上的	40	40	33	27
上看	16	16	7	7
上看到	4	4	2	2
上空	2	2	1	1
上级	2	2	2	2
上线	1	1	1	1
上网	16	16	10	9
上网查	17	17	8	10
上网看	5	5	4	3
上能	3	3	3	2
上苍	1	1	1	1
上表	1	1	1	1
上车	2	2	2	1
上辈子	1	1	1	1
上边	1	1	1	1
上过	9	9	9	8
上进	5	5	1	1
上进的	1	1	1	1
上进行	1	1	1	1
上部	1	1	1	1
上都	7	7	7	7
上集	1	1	1	1
上面	6	6	4	6
上面所说	1	1	1	1
上面提到	1	1	1	1
上面说	7	7	2	1
上风	2	2	1	1
上马	1	1	1	1
下	199	197	88	92
下一	6	6	5	3
下一个	7	7	5	3
下一站	2	2	2	1
下乡	2	2	1	1
下了	21	21	13	15
下到	2	2	1	1
下功夫	9	9	6	7
下午	29	29	9	15
下去	1	1	1	1
下去的	1	1	1	1
下吧	8	8	6	1
下周	3	3	3	3
下回	6	6	6	6
下地	1	1	1	1
下层	1	1	1	1
下属	3	3	2	2
下属的	2	2	1	1
下山	1	1	1	1
下旬	5	4	1	3
下有	3	3	3	3
下来	10	10	8	7
下来了	3	3	2	3
下次	7	7	6	7
下次再	7	7	7	2
下海	2	2	2	2
下游	5	5	3	3
下班	1	1	1	1
下的	12	12	7	7
下血	3	3	2	1
下设	1	1	1	1
下课	1	1	1	1
下调	7	7	2	2
下身	1	1	1	1
下车	7	4	3	4
下载	4	4	4	4
下载了	1	1	1	1
下载量	2	2	2	2
下雨	6	6	1	1
下雨的	1	1	1	1
下面的	1	1	1	1
不	898	884	271	105
不一	24	24	13	8
不一定	1	1	1	1
不一定能	2	2	2	2
不一样	15	15	14	9
不一样的	11	11	10	9
不上	24	24	15	7
不上了	1	1	1	1
不下	3	3	3	2
不下去了	1	1	1	1
不不	3	3	3	3
不专	2	2	2	2
不久	4	4	4	4
不久后	1	1	1	1
不久就	1	1	1	1
不乏	1	1	1	1
不也	1	1	1	1
不也是	5	5	5	5
不了了	2	2	2	1
不了你	23	23	5	5
不了的	3	3	3	3
不了解	70	70	21	31
不亚于	2	2	1	1
不亦乐乎	2	2	1	1
不仅	16	16	11	15
不仅仅是	1	1	1	1
不仅可以	3	3	3	3
不仅在	3	3	3	3
不仅如此	9	9	6	8
不仅是	13	13	12	10
不仅有	2	2	2	2
不介意	1	1	1	1
不休	4	4	1	1
不优	1	1	1	1
不会	43	43	23	20
不会不	4	4	3	3
不会了	1	1	1	1
不会后悔	1	1	1	1
不会吧	13	13	2	13
不会和	1	1	1	1
不会在	2	2	2	1
不会少	1	1	1	1
不会差	1	1	1	1
不会是	3	3	3	3
不会比	1	1	1	1
不会生	1	1	1	1
不会的	5	5	2	5
不会觉得	5	5	4	2
不会让	5	5	5	1
不会让你	2	2	2	1
不会跟	1	1	1	1
不会这么	3	3	2	2
不会那么	1	1	1	1
不会错	1	1	1	1
不会错过	1	1	1	1
不但	6	6	6	5
不但是	2	2	2	2
不低	13	13	9	6
不住	28	28	9	7
不作	2	2	1	1
不便宜	20	20	7	6
不便宜啊	1	1	1	1
不便宜的	2	2	2	2
不俗	6	6	4	4
不俗的	5	5	3	2
不信你	2	2	2	2
不假	2	2	2	2
不做	1	1	1	1
不停	3	3	1	3
不像	6	6	6	6
不像我	3	3	3	3
不像是	1	1	1	1
不像有	1	1	1	1
不允许	3	3	2	2
不光	74	74	24	45
不光是	27	27	22	12
不免	6	6	3	2
不全	10	10	5	8
不全是	2	2	2	2
不公	1	1	1	1
不公平的	1	1	1	1
不关注	1	1	1	1
不具	1	1	1	1
不再	3	3	2	2
不准	2	2	2	2
不准确	2	2	2	2
不减	1	1	1	1
不凡	2	2	2	2
不出	6	6	6	6
不出来	5	5	5	4
不出来了	1	1	1	1
不列颠	5	5	4	2
不到	47	47	25	19
不到一年	2	2	1	1
不到你	1	1	1	1
不包括	2	2	1	1
不单	8	8	3	2
不单是	2	2	1	1
不卖	1	1	1	1
不厌	14	14	3	4
不去	7	6	6	6
不及	3	3	2	2
不友好	1	1	1	1
不发达	1	1	1	1
不变	3	3	1	1
不只	5	5	4	5
不只是	7	7	5	5
不叫	2	2	2	2
不可	10	10	9	5
不可以	1	1	1	1
不可以的	1	1	1	1
不可估量	1	1	1	1
不可否认	1	1	1	1
不可小觑	3	3	2	2
不可思议	6	6	6	4
不可缺少	7	7	1	1
不可能	3	3	3	3
不可能不	1	1	1	1
不可能的	1	1	1	1
不可错过	1	1	1	1
不同	48	37	32	24
不同主题	1	1	1	1
不同价	4	4	2	2
不同时期	1	1	1	1
不同时间	2	2	1	1
不同的	7	7	7	7
不后悔	1	1	1	1
不含	19	14	6	4
不呀	1	1	1	1
不售	1	1	1	1
不喜欢	21	21	17	15
不喜欢他	1	1	1	1
不喜欢的	1	1	1	1
不喜欢看	1	1	1	1
不四	1	1	1	1
不回	1	1	1	1
不在	6	6	5	5
不在乎	1	1	1	1
不在了	11	11	6	4
不在于	1	1	1	1
不在家	1	1	1	1
不堪	1	1	1	1
不多	76	76	27	40
不多不少	1	1	1	1
不多了	2	2	2	2
不多吧	1	1	1	1
不多说了	1	1	1	1
不够	12	12	11	11
不够我	1	1	1	1
不够格	1	1	1	1
不够用	1	1	1	1
不大	43	43	20	31
不太	73	73	29	22
不太一样	1	1	1	1
不太了解	40	40	17	28
不太喜欢	4	4	4	4
不太多	1	1	1	1
不太大	2	2	2	2
不太好	10	10	6	6
不太对	1	1	1	1
不太懂	1	1	1	1
不太清楚	104	104	20	34
不太熟悉	9	9	3	8
不太高	4	4	3	3
不奇怪	1	1	1	1
不好	7	7	7	7
不好听	4	4	4	4
不好听的	3	3	2	1
不好意思	87	87	18	25
不好的	6	6	4	5
不好看	2	2	2	2
不好说	2	2	2	2
不如	2	2	2	2
不如意	1	1	1	1
不如我们	1	1	1	1
不如说	2	2	2	2
不如说是	2	2	2	2
不妨	1	1	1	1
不安	1	1	1	1
不完	3	3	2	2
不完全	2	2	2	2
不完的	2	2	2	2
不完美	1	1	1	1
不宜	9	9	2	2
不客气	317	317	5	16
不容	3	3	1	2
不容小觑	1	1	1	1
不容易	12	12	10	6
不容易了	1	1	1	1
不容易啊	3	3	3	1
不容易找	1	1	1	1
不容易的	3	3	3	3
不对	37	36	15	9
不小	157	157	45	23
不小的	38	38	11	6
不少	197	197	81	57
不少了	13	13	12	7
不少见	1	1	1	1
不少钱	33	33	11	11
不就	6	6	6	6
不就是	11	11	6	11
不尽	6	6	5	2
不屈	1	1	1	1
不巧	2	2	2	2
不已	1	1	1	1
不希望	1	1	1	1
不带	5	5	4	4
不平	2	2	1	1
不幸	1	1	1	1
不幸的	1	1	1	1
不应该	1	1	1	1
不建议	1	1	1	1
不开	48	31	7	2
不开了	1	1	1	1
不强	1	1	1	1
不影响	6	6	5	6
不得不	4	4	4	4
不得不说	3	3	3	3
不得了	5	5	4	5
不得的	1	1	1	1
不必	2	2	1	2
不必要的	1	1	1	1
不忍	2	2	1	1
不忘	1	1	1	1
不忙	1	1	1	1
不快	1	1	1	1
不怎么	5	5	5	5
不怎么样	2	2	1	2
不怕	4	4	4	4
不怪	1	1	1	1
不息	3	3	2	2
不惜	1	1	1	1
不想	5	5	5	4
不想放	3	3	3	1
不想看	1	1	1	1
不愉快	2	2	2	2
不感	2	2	2	1
不感兴趣	5	5	1	2
不愧	6	6	6	4
不愧是	20	20	14	18
不愿意	1	1	1	1
不懂	3	3	3	3
不成功	1	1	1	1
不成问题	2	2	2	2
不打	1	1	1	1
不把	1	1	1	1
不折不扣	1	1	1	1
不拍	3	3	3	2
不接	1	1	1	1
不接受	3	3	3	3
不搞	1	1	1	1
不搭	1	1	1	1
不擅长	1	1	1	1
不收	94	94	18	16
不收费	10	10	4	5
不敏感	1	1	1	1
不敢	7	7	6	5
不敢相信	3	3	3	3
不敢看	1	1	1	1
不散	2	2	1	1
不断	15	15	10	8
不断努力	2	2	1	1
不断增加	1	1	1	1
不断完善	1	1	1	1
不断提高	1	1	1	1
不时	1	1	1	1
不明白	4	4	3	4
不易	1	1	1	1
不是	247	246	108	134
不是一个	5	5	5	4
不是一种	1	1	1	1
不是个	1	1	1	1
不是中国	2	2	2	2
不是么	1	1	1	1
不是也	5	5	5	5
不是了	1	1	1	1
不是什么	4	4	3	4
不是他	5	5	4	5
不是你	11	11	2	8
不是只	1	1	1	1
不是吗	4	4	4	1
不是在	3	3	3	3
不是太	31	31	11	11
不是太多	1	1	1	1
不是好	1	1	1	1
不是很	111	111	45	23
不是很多	9	9	7	6
不是很大	12	12	10	11
不是很好	1	1	1	1
不是很熟	4	4	3	2
不是很贵	9	9	5	7
不是很高	5	5	5	4
不是感觉	1	1	1	1
不是我	1	1	1	1
不是我们	1	1	1	1
不是我的	1	1	1	1
不是有	2	2	2	2
不是特别	5	5	4	4
不是的	276	276	2	54
不是盖的	1	1	1	1
不是能	1	1	1	1
不是要	1	1	1	1
不是让	2	2	2	2
不是说	3	3	2	3
不是跟	1	1	1	1
不是还	6	6	3	5
不是这	2	2	2	2
不是这个	8	8	4	4
不是这么	3	3	3	2
不是那	1	1	1	1
不是那个	1	1	1	1
不是那么	2	2	2	2
不晓得	1	1	1	1
不服	1	1	1	1
不来	3	3	3	3
不止	49	49	11	21
不止于	1	1	1	1
不止是	3	3	2	2
不止有	3	3	2	3
不正是	1	1	1	1
不死	2	2	1	1
不比	2	2	1	2
不治	1	1	1	1
不浪费	1	1	1	1
不清了	4	4	1	1
不清楚	128	128	31	34
不清楚了	48	48	11	15
不清楚的	1	1	1	1
不温不火	1	1	1	1
不满	1	1	1	1
不满意	3	3	3	3
不演	3	3	3	2
不火	2	2	2	2
不然	23	23	18	23
不然也	3	3	3	3
不然会	1	1	1	1
不然就	1	1	1	1
不然我	1	1	1	1
不熟	4	4	4	3
不熟悉	6	6	5	4
不爱	12	12	11	9
不爽	1	1	1	1
不用	213	213	12	24
不用买	4	4	4	3
不用了	51	51	3	15
不用再	1	1	1	1
不用多说	2	2	2	2
不用担心	5	5	3	4
不用的	3	3	1	3
不用看	1	1	1	1
不用说	2	2	2	2
不用说了	2	2	2	2
不用这么	2	2	2	2
不由	1	1	1	1
不由自主	1	1	1	1
不相上下	1	1	1	1
不看	6	6	5	6
不着	2	2	2	2
不着急	1	1	1	1
不瞒	1	1	1	1
不知	13	13	5	11
不知不觉	2	2	2	2
不知你	1	1	1	1
不知道	442	441	127	135
不知道为	3	3	3	1
不知道了	74	74	16	22
不知道他	43	43	35	24
不知道你	52	52	41	24
不知道在	1	1	1	1
不知道我	1	1	1	1
不知道是	14	14	10	12
不知道的	9	9	6	6
不知道说	1	1	1	1
不知道这	63	63	33	11
不确定	11	11	4	9
不离	3	3	2	2
不符合	1	1	1	1
不等	1	1	1	1
不简单	7	7	6	5
不算	54	54	23	15
不算什么	3	3	3	3
不算多	2	2	1	1
不算大	13	13	7	7
不算太	42	42	19	8
不算太多	2	2	2	2
不算小	13	13	10	5
不算是	3	3	3	3
不算高	3	3	3	3
不管	3	3	3	3
不管他	1	1	1	1
不管在	1	1	1	1
不管是	2	2	2	2
不精	1	1	1	1
不累	1	1	1	1
不红	1	1	1	1
不结婚	1	1	1	1
不给你	1	1	1	1
不缺	1	1	1	1
不羁	2	2	2	2
不美	1	1	1	1
不老	15	13	9	5
不考	1	1	1	1
不耽误	4	4	4	3
不聊	2	2	2	2
不聊了	3	3	2	3
不胖	6	6	2	3
不胜	4	4	2	2
不胜枚举	1	1	1	1
不能	20	20	17	20
不能一	1	1	1	1
不能去	1	1	1	1
不能吧	2	2	2	2
不能回	1	1	1	1
不能在	2	2	2	2
不能太	1	1	1	1
不能完全	1	1	1	1
不能少	1	1	1	1
不能比	1	1	1	1
不能用	1	1	1	1
不能看	1	1	1	1
不能等	1	1	1	1
不能被	1	1	1	1
不能说	2	2	1	1
不能说的	9	9	8	1
不舒服	1	1	1	1
不良	1	1	1	1
不花钱	31	31	6	7
不落的	1	1	1	1
不行	11	11	6	10
不行了	5	5	3	3
不行就	2	2	2	2
不行的	1	1	1	1
不被	1	1	1	1
不要	36	36	17	13
不要不	2	2	2	2
不要了	10	10	1	7
不要停	5	5	4	1
不要去	1	1	1	1
不要在	1	1	1	1
不要太	1	1	1	1
不要对	1	1	1	1
不要小看	1	1	1	1
不要忘记	1	1	1	1
